Team,Season,ALY,ASR,SROA_rushing,SROA_passing,winning_percentage,percentage_yards_rushing,percentage_yards_passing,percent_td_rush
TB,2016,4.01,0.059,0.961577823,1.062151056,0.5625,0.32241630276564776,0.6775836972343523,0.23076923076923078
TEN,2016,4.63,0.057,1.193777013,0.980731935,0.5625,0.38772455089820357,0.6122754491017964,0.3584905660377358
MIN,2016,3.64,0.06,0.795541552,1.022861994,0.5,0.3283705541770058,0.6716294458229942,0.34615384615384615
PHI,2016,4.28,0.054,1.154909854,0.951354178,0.4375,0.349478390461997,0.650521609538003,0.5151515151515151
CLE,2016,3.73,0.106,0.998664014,0.939108486,0.0625,0.3972500929022668,0.6027499070977331,0.4444444444444444
CIN,2016,4.2,0.073,1.073970036,1.068267849,0.40625,0.3544201135442011,0.6455798864557989,0.45714285714285713
NYJ,2016,4.29,0.063,1.010849577,0.895296122,0.3125,0.308964986533282,0.691035013466718,0.36666666666666664
NO,2016,4.93,0.045,1.112177065,1.137318916,0.4375,0.3298364702252391,0.6701635297747609,0.2982456140350877
OAK,2016,4.39,0.034,1.062592726,0.941134014,0.75,0.3360232408005165,0.6639767591994835,0.3695652173913043
KC,2016,4.1,0.057,0.974511847,0.999611274,0.75,0.3152854511970534,0.6847145488029466,0.4411764705882353
BAL,2016,4.07,0.053,0.98108159,0.917811474,0.5,0.2980808493262556,0.7019191506737443,0.3
BUF,2016,4.16,0.093,1.260662143,0.961390842,0.4375,0.49495586380832285,0.5050441361916771,0.6382978723404256
HOU,2016,4.16,0.056,0.983291233,0.951871218,0.5625,0.329635499207607,0.6703645007923931,0.375
CHI,2016,4.48,0.049,1.00146643,1.045829859,0.1875,0.38578487267198786,0.6142151273280121,0.3333333333333333
GB,2016,4.08,0.055,1.044197611,1.036048717,0.625,0.31636916065324727,0.6836308393467527,0.22
SEA,2016,3.77,0.069,0.958899513,1.084763345,0.65625,0.2894736842105263,0.7105263157894737,0.34210526315789475
MIA,2016,3.97,0.063,1.007076582,0.992261191,0.625,0.40229459659511474,0.5977054034048852,0.3333333333333333
DAL,2016,4.63,0.056,1.231004986,1.088626244,0.8125,0.42977433479285954,0.5702256652071405,0.47058823529411764
NYG,2016,3.89,0.039,0.899944978,0.921678308,0.6875,0.2576402321083172,0.7423597678916828,0.16666666666666666
IND,2016,4.69,0.076,1.09564043,1.056756287,0.5,0.3213102686786897,0.6786897313213103,0.2553191489361702
DET,2016,3.49,0.061,0.976226531,1.01242248,0.5625,0.31463009143807147,0.6853699085619285,0.23529411764705882
ARI,2016,4.54,0.063,1.102619031,1.017197027,0.46875,0.27044917257683215,0.7295508274231679,0.4166666666666667
NE,2016,4.46,0.046,0.978300446,1.049591837,0.875,0.305337812616648,0.6946621873833521,0.3958333333333333
WAS,2016,4.57,0.039,1.06031126,1.087695831,0.53125,0.3673536146548904,0.6326463853451096,0.3617021276595745
PIT,2016,4.68,0.041,1.080372525,0.991960339,0.6875,0.3015253636041149,0.6984746363958851,0.26666666666666666
SF,2016,3.46,0.084,1.096272047,0.906368511,0.125,0.46597731821214144,0.5340226817878586,0.4
BAL,2017,4.07,0.053,1.124942942,0.916477454,0.5625,0.4627862595419847,0.5372137404580153,0.42105263157894735
CIN,2017,4.2,0.073,0.943250396,0.959160964,0.4375,0.3835139318885449,0.6164860681114551,0.22857142857142856
TEN,2017,4.63,0.057,1.017193184,0.990691824,0.5625,0.3779092702169625,0.6220907297830375,0.5263157894736842
HOU,2017,4.16,0.056,1.031318824,0.998602291,0.25,0.3334756618274979,0.6665243381725021,0.21428571428571427
TB,2017,4.01,0.059,0.945516647,1.11669085,0.3125,0.34,0.6599999999999999,0.2222222222222222
CAR,2017,3.83,0.062,1.064187621,0.96334873,0.6875,0.4700149925037481,0.5299850074962519,0.40476190476190477
CLE,2017,3.73,0.106,1.152395183,0.798777701,0,0.28188833408987746,0.7181116659101225,0.36363636363636365
PIT,2017,4.68,0.041,1.010223426,1.123007952,0.8125,0.3282991729593671,0.6717008270406328,0.2765957446808511
DAL,2017,4.63,0.056,1.234950083,0.983873297,0.5625,0.4184481393507522,0.5815518606492478,0.4090909090909091
PHI,2017,4.28,0.054,1.09533918,1.01659684,0.8125,0.416,0.5840000000000001,0.20754716981132076
BUF,2017,4.16,0.093,1.022337546,0.961553829,0.5625,0.45454545454545453,0.5454545454545454,0.41935483870967744
NYJ,2017,4.29,0.063,0.926898428,0.977173612,0.3125,0.4200143472022956,0.5799856527977044,0.3888888888888889
MIN,2017,3.64,0.06,1.019179756,1.077424089,0.8125,0.35554755043227665,0.6444524495677233,0.36363636363636365
CHI,2017,4.48,0.049,1.008301498,0.892040655,0.3125,0.3929656969170647,0.6070343030829353,0.4666666666666667
IND,2017,4.69,0.076,0.972624483,0.948204422,0.25,0.3791712504583792,0.6208287495416208,0.36363636363636365
NE,2017,4.46,0.046,1.250536281,1.093455112,0.8125,0.36558078315235276,0.6344192168476472,0.32727272727272727
MIA,2017,3.97,0.063,0.964544585,0.952183205,0.375,0.30133657351154314,0.6986634264884568,0.125
KC,2017,4.1,0.057,1.080421655,1.083740227,0.625,0.3821257815373299,0.6178742184626701,0.32558139534883723
ARI,2017,4.54,0.063,0.907291463,0.929394838,0.5,0.3330457290767903,0.6669542709232097,0.2
DEN,2017,4.09,0.074,0.980701949,0.916692505,0.3125,0.3834972210346302,0.6165027789653699,0.29411764705882354
OAK,2017,4.39,0.034,1.011177526,0.980784906,0.375,0.3012465373961219,0.698753462603878,0.325
WAS,2017,4.57,0.039,0.91423502,1.03325488,0.4375,0.2659613279824881,0.7340386720175118,0.23255813953488372
NYG,2017,3.89,0.039,0.916387209,0.986144386,0.1875,0.39697859840537136,0.6030214015946287,0.25
SF,2017,3.46,0.084,1.067933599,0.963881022,0.375,0.35920640445527324,0.6407935955447268,0.5
SEA,2017,3.77,0.069,0.99301979,1.027488949,0.5625,0.3273415326395459,0.6726584673604541,0.12195121951219512
NO,2017,4.93,0.045,1.091486052,1.120315053,0.6875,0.34689075630252103,0.653109243697479,0.49019607843137253
ATL,2017,4.4,0.065,1.069911192,1.124914587,0.625,0.367498051441933,0.632501948558067,0.34146341463414637
DET,2017,3.49,0.061,0.826694761,1.036786513,0.5625,0.25895212966453074,0.7410478703354693,0.2391304347826087
GB,2017,4.08,0.055,1.265755754,0.981557786,0.4375,0.32797175362887404,0.672028246371126,0.29545454545454547
PIT,2015,4.08,0.054,1.003639001,1.037665058,0.625,0.2876500193573364,0.7123499806426636,0.41025641025641024
NE,2015,4.19,0.065,1.032278175,1.014928947,0.75,0.27462437395659434,0.7253756260434057,0.2549019607843137
CHI,2015,4.09,0.056,1.089449126,0.986605348,0.375,0.3409090909090909,0.6590909090909092,0.3611111111111111
GB,2015,3.56,0.074,1.048061601,0.930667585,0.625,0.3826530612244898,0.6173469387755102,0.21951219512195122
KC,2015,4.15,0.087,1.035280362,1.008220652,0.6875,0.4066410009624639,0.5933589990375361,0.5135135135135135
HOU,2015,3.72,0.063,0.883175153,0.971829001,0.5625,0.37423076923076926,0.6257692307692307,0.1891891891891892
NYJ,2015,3.55,0.041,0.936211102,0.959070005,0.625,0.4234808702175544,0.5765191297824457,0.2558139534883721
CLE,2015,3.32,0.081,0.982993475,0.93271514,0.1875,0.3365091463414634,0.6634908536585367,0.18518518518518517
IND,2015,3.47,0.061,0.960830492,0.949490954,0.5,0.3351934523809524,0.6648065476190477,0.1935483870967742
BUF,2015,3.59,0.084,1.083481674,0.991434252,0.5,0.39121482498284144,0.6087851750171586,0.40476190476190477
WAS,2015,3.64,0.054,0.903243403,1.081660349,0.5625,0.2948661693725318,0.70513383062746815,0.24324324324324326
MIA,2015,3.45,0.076,0.982255491,0.956744412,0.375,0.4200210010500525,0.5799789989499475,0.3142857142857143
CAR,2015,3.89,0.069,1.109971512,1.044392233,0.9375,0.38824470211915235,0.6117552978808476,0.35294117647058826
SEA,2015,4.18,0.09,1.185825288,1.134739971,0.625,0.39733707077785563,0.6026629292221444,0.23809523809523808
ARI,2015,4.18,0.05,1.031327869,1.134887147,0.8125,0.35456475583864117,0.6454352441613589,0.3137254901960784
NO,2015,3.88,0.051,1.017268905,1.066571864,0.4375,0.28627808136004856,0.7137219186399515,0.3125
DET,2015,3.61,0.069,1.003831787,1.082126381,0.4375,0.3213395083719273,0.6786604916280727,0.18421052631578946
TEN,2015,3.65,0.096,0.86915908,1.02840418,0.1875,0.39761283103319656,0.6023871689668034,0.25
TB,2015,4,0.058,1.113095552,0.986079439,0.375,0.4048723897911833,0.5951276102088168,0.3055555555555556
OAK,2015,3.69,0.046,0.903587316,0.963192017,0.4375,0.3476411446249033,0.6523588553750967,0.16279069767441862
CIN,2015,4.21,0.059,0.998760516,1.119749718,0.75,0.3584973166368515,0.6415026833631485,0.375
BAL,2015,3.87,0.038,1.02708553,0.962975335,0.3125,0.25932568149210905,0.740674318507891,0.2727272727272727
DEN,2015,3.73,0.058,0.878718112,0.957484765,0.75,0.3776387802971071,0.6223612197028929,0.34375
DAL,2015,4.11,0.066,1.050127741,0.999127749,0.25,0.3443565780014378,0.6556434219985622,0.3076923076923077
NYG,2015,3.96,0.051,1.03077788,0.973936259,0.375,0.2628272251308901,0.7371727748691099,0.1
PHI,2015,3.25,0.066,1.048829065,0.992496882,0.4375,0.3864516129032258,0.6135483870967742,0.3783783783783784
ATL,2015,3.82,0.054,0.952123606,1.085921961,0.5,0.33408662900188324,0.6659133709981168,0.4117647058823529
SF,2015,3.16,0.091,0.970025223,0.868885392,0.3125,0.3486745213549337,0.6513254786450663,0.2916666666666667
MIN,2015,3.96,0.088,1.026172689,0.922032059,0.6875,0.4626579854461892,0.5373420145538108,0.5483870967741935
NYJ,2016,3.55,0.041,1.010849577,0.895296122,0.3125,0.308964986533282,0.691035013466718,0.36666666666666664
BUF,2016,3.59,0.084,1.260662143,0.961390842,0.4375,0.49495586380832285,0.5050441361916771,0.6382978723404256
